round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,epochs,losses,lstm_units,optimizer
100,-88.79991149902344,0.3465898633003235,-69.26753234863281,0.34675055742263794,32,0.1,100,binary_crossentropy,50,rmsprop
100,-84.97069549560547,0.3709720969200134,-66.03583526611328,0.38940343260765076,32,0.1,100,binary_crossentropy,50,Adam
100,-187.2493438720703,0.3345210552215576,-144.591552734375,0.34498149156570435,32,0.1,100,binary_crossentropy,100,rmsprop
100,-162.13539123535156,0.355074405670166,-127.38546752929688,0.36234748363494873,32,0.1,100,binary_crossentropy,100,Adam
100,46.436058044433594,1.0229930877685547,47.94692611694336,1.0227376222610474,32,0.1,100,categorical_crossentropy,50,rmsprop
100,44.123748779296875,1.0229930877685547,45.525535583496094,1.0227376222610474,32,0.1,100,categorical_crossentropy,50,Adam
100,84.674560546875,1.0229930877685547,87.41242980957031,1.0227376222610474,32,0.1,100,categorical_crossentropy,100,rmsprop
100,80.86516571044922,1.0229930877685547,83.55197143554688,1.0227376222610474,32,0.1,100,categorical_crossentropy,100,Adam
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,50,rmsprop
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,50,Adam
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,100,rmsprop
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,100,Adam
100,-76.1511001586914,0.35488125681877136,-59.0427360534668,0.3483184278011322,32,0.5,100,binary_crossentropy,50,rmsprop
100,-59.25058364868164,0.38178062438964844,-52.12181854248047,0.35539209842681885,32,0.5,100,binary_crossentropy,50,Adam
100,-159.8301544189453,0.34189942479133606,-123.42511749267578,0.33985888957977295,32,0.5,100,binary_crossentropy,100,rmsprop
100,-116.81438446044922,0.3715570569038391,-85.13743591308594,0.39911070466041565,32,0.5,100,binary_crossentropy,100,Adam
100,58.13573455810547,1.0229930877685547,57.17701721191406,1.0227376222610474,32,0.5,100,categorical_crossentropy,50,rmsprop
100,49.98976135253906,1.0229930877685547,51.72891616821289,1.0227376222610474,32,0.5,100,categorical_crossentropy,50,Adam
100,100.23841857910156,1.0227521657943726,102.79817199707031,1.0227376222610474,32,0.5,100,categorical_crossentropy,100,rmsprop
100,93.46271514892578,1.0229930877685547,96.55978393554688,1.0227376222610474,32,0.5,100,categorical_crossentropy,100,Adam
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,50,rmsprop
100,0.3179154694080353,0.3179154694080353,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,50,Adam
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,100,rmsprop
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,100,Adam
100,-52.28862380981445,0.34507495164871216,-41.34675598144531,0.34204769134521484,64,0.1,100,binary_crossentropy,50,rmsprop
100,-46.630252838134766,0.33148273825645447,-35.794612884521484,0.3407323658466339,64,0.1,100,binary_crossentropy,50,Adam
100,-92.04163360595703,0.3420479893684387,-74.86923217773438,0.35144463181495667,64,0.1,100,binary_crossentropy,100,rmsprop
100,-84.38704681396484,0.35927605628967285,-69.70086669921875,0.3529472053050995,64,0.1,100,binary_crossentropy,100,Adam
100,23.451955795288086,1.0229932069778442,21.89154815673828,1.0227375030517578,64,0.1,100,categorical_crossentropy,50,rmsprop
100,20.50029945373535,1.0229932069778442,20.591297149658203,1.0227375030517578,64,0.1,100,categorical_crossentropy,50,Adam
100,34.50575256347656,1.0229932069778442,35.452430725097656,1.0227375030517578,64,0.1,100,categorical_crossentropy,100,rmsprop
100,34.64995193481445,1.0229932069778442,34.96916198730469,1.0227375030517578,64,0.1,100,categorical_crossentropy,100,Adam
100,0.3179154098033905,0.3179154098033905,0.31590116024017334,0.31590116024017334,64,0.1,100,mean_absolute_error,50,rmsprop
100,0.31791597604751587,0.31791597604751587,0.31590163707733154,0.31590163707733154,64,0.1,100,mean_absolute_error,50,Adam
100,0.3179154098033905,0.3179154098033905,0.31590116024017334,0.31590116024017334,64,0.1,100,mean_absolute_error,100,rmsprop
100,0.317915678024292,0.317915678024292,0.31590136885643005,0.31590136885643005,64,0.1,100,mean_absolute_error,100,Adam
100,-39.48638153076172,0.3756531774997711,-29.872333526611328,0.3869366943836212,64,0.5,100,binary_crossentropy,50,rmsprop
100,-39.26683044433594,0.36744579672813416,-32.13783645629883,0.3475635349750519,64,0.5,100,binary_crossentropy,50,Adam
100,-82.22406768798828,0.3440520167350769,-66.42144775390625,0.3396914601325989,64,0.5,100,binary_crossentropy,100,rmsprop
100,-81.1894760131836,0.3572140634059906,-65.18984985351562,0.3487696349620819,64,0.5,100,binary_crossentropy,100,Adam
100,25.481121063232422,1.0229932069778442,26.027402877807617,1.0227375030517578,64,0.5,100,categorical_crossentropy,50,rmsprop
100,24.66373634338379,1.0229932069778442,24.99333953857422,1.0227375030517578,64,0.5,100,categorical_crossentropy,50,Adam
100,47.466651916503906,1.0229932069778442,47.53742218017578,1.0227375030517578,64,0.5,100,categorical_crossentropy,100,rmsprop
100,42.71345520019531,1.0229932069778442,43.523529052734375,1.0227375030517578,64,0.5,100,categorical_crossentropy,100,Adam
